config,run,traced,wall_ms
arm64-warm,1,0,353.525
x64-warm,1,0,443.245
arm64-warm,2,0,49.128
x64-warm,2,0,82.834
arm64-warm,3,0,51.247
x64-warm,3,0,72.296
arm64-warm,4,0,55.804
x64-warm,4,0,80.437
arm64-warm,5,0,55.117
x64-warm,5,0,79.752
arm64-warm,6,0,55.079
x64-warm,6,0,77.256
arm64-warm,7,0,55.052
x64-warm,7,0,65.460
arm64-warm,8,0,56.509
x64-warm,8,0,77.300
arm64-warm,9,0,58.092
x64-warm,9,0,99.293
arm64-warm,10,0,61.133
x64-warm,10,0,73.957
arm64-warm,11,0,55.331
x64-warm,11,0,78.587
arm64-warm,12,0,55.271
x64-warm,12,0,78.498
arm64-warm,13,0,54.262
x64-warm,13,0,76.102
arm64-warm,14,0,58.730
x64-warm,14,0,45.045
arm64-warm,15,0,57.459
x64-warm,15,0,79.419
