config,run,kind,key,count,bytes,ms
arm64-warm,19,readying,csrss.exe,2,0.000,0.019
arm64-warm,20,readying,7z.exe,17,0.000,9.757
arm64-warm,20,readying,conhost.exe,2,0.000,8.519
arm64-warm,20,readying,MsMpEng.exe,1,0.000,1.498
arm64-warm,20,readying,powershell.exe,2,0.000,0.328
arm64-warm,20,readying,csrss.exe,2,0.000,0.023
x64-warm,1,readying,7z.exe,18,0.000,25.874
x64-warm,1,readying,conhost.exe,2,0.000,11.587
x64-warm,1,readying,powershell.exe,2,0.000,6.567
x64-warm,1,readying,XtaCache.exe,17,0.000,3.969
x64-warm,1,readying,MsMpEng.exe,1,0.000,1.947
x64-warm,1,readying,csrss.exe,2,0.000,0.037
x64-warm,2,readying,7z.exe,19,0.000,21.292
x64-warm,2,readying,conhost.exe,2,0.000,9.036
x64-warm,2,readying,XtaCache.exe,17,0.000,3.441
x64-warm,2,readying,MsMpEng.exe,2,0.000,1.461
x64-warm,2,readying,powershell.exe,2,0.000,0.669
x64-warm,2,readying,csrss.exe,2,0.000,0.032
x64-warm,3,readying,7z.exe,18,0.000,19.735
x64-warm,3,readying,conhost.exe,2,0.000,8.336
x64-warm,3,readying,XtaCache.exe,17,0.000,3.174
x64-warm,3,readying,MsMpEng.exe,1,0.000,1.456
x64-warm,3,readying,powershell.exe,2,0.000,0.675
x64-warm,3,readying,csrss.exe,2,0.000,0.030
x64-warm,4,readying,7z.exe,21,0.000,19.146
x64-warm,4,readying,conhost.exe,2,0.000,8.265
x64-warm,4,readying,XtaCache.exe,17,0.000,3.066
x64-warm,4,readying,MsMpEng.exe,6,0.000,1.429
x64-warm,4,readying,powershell.exe,2,0.000,0.651
x64-warm,4,readying,csrss.exe,2,0.000,0.021
x64-warm,5,readying,7z.exe,19,0.000,18.938
x64-warm,5,readying,conhost.exe,2,0.000,8.427
x64-warm,5,readying,XtaCache.exe,17,0.000,2.911
x64-warm,5,readying,MsMpEng.exe,3,0.000,1.424
x64-warm,5,readying,powershell.exe,2,0.000,0.672
x64-warm,5,readying,csrss.exe,4,0.000,0.034
x64-warm,6,readying,7z.exe,19,0.000,19.366
x64-warm,6,readying,conhost.exe,2,0.000,8.357
x64-warm,6,readying,XtaCache.exe,17,0.000,2.976
x64-warm,6,readying,MsMpEng.exe,6,0.000,1.444
x64-warm,6,readying,powershell.exe,2,0.000,0.713
x64-warm,6,readying,csrss.exe,2,0.000,0.024
x64-warm,7,readying,7z.exe,17,0.000,20.390
x64-warm,7,readying,conhost.exe,2,0.000,9.112
x64-warm,7,readying,XtaCache.exe,17,0.000,3.029
x64-warm,7,readying,MsMpEng.exe,1,0.000,1.425
x64-warm,7,readying,powershell.exe,2,0.000,0.680
x64-warm,7,readying,csrss.exe,3,0.000,0.043
x64-warm,8,readying,7z.exe,18,0.000,19.420
x64-warm,8,readying,conhost.exe,2,0.000,8.411
x64-warm,8,readying,XtaCache.exe,17,0.000,3.062
x64-warm,8,readying,MsMpEng.exe,4,0.000,1.400
x64-warm,8,readying,powershell.exe,2,0.000,0.689
x64-warm,8,readying,csrss.exe,2,0.000,0.026
x64-warm,9,readying,7z.exe,22,0.000,19.408
x64-warm,9,readying,conhost.exe,2,0.000,8.271
x64-warm,9,readying,XtaCache.exe,17,0.000,3.132
x64-warm,9,readying,MsMpEng.exe,6,0.000,1.440
x64-warm,9,readying,powershell.exe,2,0.000,0.644
x64-warm,9,readying,csrss.exe,2,0.000,0.026
x64-warm,10,readying,7z.exe,20,0.000,20.294
x64-warm,10,readying,conhost.exe,2,0.000,8.331
x64-warm,10,readying,XtaCache.exe,17,0.000,2.951
x64-warm,10,readying,MsMpEng.exe,5,0.000,1.389
x64-warm,10,readying,powershell.exe,2,0.000,0.695
x64-warm,10,readying,csrss.exe,2,0.000,0.022
x64-warm,11,readying,7z.exe,19,0.000,19.122
x64-warm,11,readying,conhost.exe,2,0.000,8.471
x64-warm,11,readying,XtaCache.exe,17,0.000,3.147
x64-warm,11,readying,MsMpEng.exe,4,0.000,1.430
x64-warm,11,readying,powershell.exe,2,0.000,0.708
x64-warm,11,readying,csrss.exe,2,0.000,0.026
x64-warm,12,readying,7z.exe,18,0.000,18.917
x64-warm,12,readying,conhost.exe,2,0.000,8.570
x64-warm,12,readying,XtaCache.exe,17,0.000,3.144
x64-warm,12,readying,MsMpEng.exe,5,0.000,1.427
x64-warm,12,readying,powershell.exe,2,0.000,0.649
x64-warm,12,readying,csrss.exe,2,0.000,0.029
x64-warm,13,readying,7z.exe,19,0.000,28.899
x64-warm,13,readying,XtaCache.exe,17,0.000,11.662
x64-warm,13,readying,conhost.exe,2,0.000,8.911
x64-warm,13,readying,MsMpEng.exe,4,0.000,1.401
x64-warm,13,readying,powershell.exe,2,0.000,0.732
x64-warm,13,readying,csrss.exe,2,0.000,0.037
x64-warm,14,readying,7z.exe,18,0.000,19.548
x64-warm,14,readying,conhost.exe,2,0.000,8.146
x64-warm,14,readying,XtaCache.exe,17,0.000,3.188
x64-warm,14,readying,MsMpEng.exe,1,0.000,1.380
x64-warm,14,readying,powershell.exe,2,0.000,0.695
x64-warm,14,readying,csrss.exe,4,0.000,0.046
x64-warm,15,readying,7z.exe,18,0.000,19.122
x64-warm,15,readying,conhost.exe,2,0.000,8.298
x64-warm,15,readying,XtaCache.exe,17,0.000,3.338
x64-warm,15,readying,MsMpEng.exe,4,0.000,1.429
x64-warm,15,readying,powershell.exe,2,0.000,0.708
x64-warm,15,readying,csrss.exe,3,0.000,0.042
x64-warm,16,readying,7z.exe,19,0.000,18.876
x64-warm,16,readying,conhost.exe,2,0.000,8.535
x64-warm,16,readying,XtaCache.exe,17,0.000,3.081
x64-warm,16,readying,MsMpEng.exe,1,0.000,1.599
x64-warm,16,readying,powershell.exe,2,0.000,0.704
x64-warm,16,readying,csrss.exe,2,0.000,0.032
x64-warm,17,readying,7z.exe,18,0.000,19.265
x64-warm,17,readying,conhost.exe,2,0.000,8.713
x64-warm,17,readying,XtaCache.exe,17,0.000,3.242
x64-warm,17,readying,MsMpEng.exe,3,0.000,1.442
x64-warm,17,readying,powershell.exe,2,0.000,0.717
x64-warm,17,readying,csrss.exe,3,0.000,0.039
x64-warm,18,readying,7z.exe,19,0.000,18.633
x64-warm,18,readying,conhost.exe,2,0.000,8.102
x64-warm,18,readying,XtaCache.exe,17,0.000,3.021
x64-warm,18,readying,MsMpEng.exe,3,0.000,1.402
x64-warm,18,readying,powershell.exe,2,0.000,0.712
x64-warm,18,readying,csrss.exe,2,0.000,0.021
x64-warm,19,readying,7z.exe,19,0.000,18.617
x64-warm,19,readying,conhost.exe,2,0.000,8.424
x64-warm,19,readying,XtaCache.exe,17,0.000,3.036
x64-warm,19,readying,MsMpEng.exe,1,0.000,1.401
x64-warm,19,readying,powershell.exe,2,0.000,0.681
x64-warm,19,readying,csrss.exe,3,0.000,0.037
x64-warm,20,readying,7z.exe,19,0.000,19.560
x64-warm,20,readying,conhost.exe,2,0.000,8.220
x64-warm,20,readying,XtaCache.exe,17,0.000,3.211
x64-warm,20,readying,MsMpEng.exe,4,0.000,1.387
x64-warm,20,readying,powershell.exe,2,0.000,0.651
x64-warm,20,readying,csrss.exe,2,0.000,0.028
