config,run,kind,key,count,bytes,ms
x64-warm,12,readying,MsMpEng.exe,1,0.000,2.167
x64-warm,12,readying,powershell.exe,2,0.000,0.673
x64-warm,12,readying,csrss.exe,2,0.000,0.033
x64-warm,13,module,ntoskrnl.exe,3,0.000,2.994
x64-warm,13,module,ntdll.dll,2,0.000,2.000
x64-warm,13,module,dxgkrnl.sys,1,0.000,1.002
x64-warm,13,readying,conhost.exe,2,0.000,6.918
x64-warm,13,readying,7z.exe,15,0.000,6.348
x64-warm,13,readying,MsMpEng.exe,1,0.000,2.074
x64-warm,13,readying,powershell.exe,2,0.000,0.696
x64-warm,13,readying,csrss.exe,2,0.000,0.026
x64-warm,14,module,ntoskrnl.exe,5,0.000,5.002
x64-warm,14,module,ntdll.dll,4,0.000,4.077
x64-warm,14,readying,7z.exe,16,0.000,8.220
x64-warm,14,readying,conhost.exe,2,0.000,7.539
x64-warm,14,readying,MsMpEng.exe,1,0.000,2.245
x64-warm,14,readying,powershell.exe,2,0.000,0.653
x64-warm,14,readying,csrss.exe,2,0.000,0.049
x64-warm,15,module,ntoskrnl.exe,4,0.000,3.942
x64-warm,15,module,gdi32full.dll,1,0.000,1.002
x64-warm,15,module,vgk.sys,1,0.000,1.000
x64-warm,15,module,ntdll.dll,1,0.000,1.000
x64-warm,15,readying,conhost.exe,2,0.000,6.800
x64-warm,15,readying,7z.exe,15,0.000,6.545
x64-warm,15,readying,MsMpEng.exe,1,0.000,2.068
x64-warm,15,readying,powershell.exe,2,0.000,0.713
x64-warm,15,readying,csrss.exe,2,0.000,0.025
x64-warm,16,module,ntoskrnl.exe,7,0.000,6.973
x64-warm,16,module,ntdll.dll,3,0.000,3.019
x64-warm,16,module,vgk.sys,1,0.000,1.000
x64-warm,16,readying,7z.exe,16,0.000,7.766
x64-warm,16,readying,conhost.exe,2,0.000,7.674
x64-warm,16,readying,MsMpEng.exe,1,0.000,2.300
x64-warm,16,readying,powershell.exe,2,0.000,0.658
x64-warm,16,readying,csrss.exe,2,0.000,0.043
x64-warm,17,module,ntoskrnl.exe,3,0.000,2.987
x64-warm,17,module,ntdll.dll,2,0.000,2.017
x64-warm,17,module,oleaut32.dll,1,0.000,1.000
x64-warm,17,readying,7z.exe,17,0.000,7.566
x64-warm,17,readying,conhost.exe,2,0.000,7.438
x64-warm,17,readying,MsMpEng.exe,2,0.000,2.228
x64-warm,17,readying,powershell.exe,2,0.000,0.358
x64-warm,17,readying,csrss.exe,2,0.000,0.040
x64-warm,18,module,ntoskrnl.exe,4,0.000,4.003
