config,run,kind,key,count,bytes,ms
x64-warm,15,readying,MsMpEng.exe,1,0.000,1.423
x64-warm,15,readying,powershell.exe,2,0.000,0.814
x64-warm,15,readying,csrss.exe,2,0.000,0.026
x64-warm,17,readying,7z.exe,18,0.000,19.410
x64-warm,17,readying,conhost.exe,2,0.000,8.503
x64-warm,17,readying,XtaCache.exe,17,0.000,3.297
x64-warm,17,readying,MsMpEng.exe,1,0.000,1.414
x64-warm,17,readying,powershell.exe,2,0.000,0.761
x64-warm,17,readying,csrss.exe,4,0.000,0.046
x64-warm,19,readying,7z.exe,19,0.000,19.110
x64-warm,19,readying,conhost.exe,2,0.000,8.091
x64-warm,19,readying,XtaCache.exe,17,0.000,3.428
x64-warm,19,readying,MsMpEng.exe,2,0.000,1.515
x64-warm,19,readying,powershell.exe,2,0.000,0.765
x64-warm,19,readying,csrss.exe,2,0.000,0.020
