config,run,kind,key,count,bytes,ms
x64-warm,9,readying,7z.exe,19,0.000,53.721
x64-warm,9,readying,conhost.exe,2,0.000,6.909
x64-warm,9,readying,MsMpEng.exe,2,0.000,2.157
x64-warm,9,readying,powershell.exe,2,0.000,0.709
x64-warm,9,readying,lsass.exe,11,0.000,0.269
x64-warm,9,readying,csrss.exe,2,0.000,0.027
x64-warm,10,module,ntoskrnl.exe,14,0.000,13.903
x64-warm,10,module,7z.dll,6,0.000,6.017
x64-warm,10,module,ntdll.dll,3,0.000,3.051
x64-warm,10,module,FLTMGR.SYS,2,0.000,1.989
x64-warm,10,module,rpcrt4.dll,1,0.000,0.989
x64-warm,10,readying,7z.exe,18,0.000,55.698
x64-warm,10,readying,conhost.exe,2,0.000,7.241
x64-warm,10,readying,MsMpEng.exe,1,0.000,2.167
x64-warm,10,readying,powershell.exe,2,0.000,0.765
x64-warm,10,readying,lsass.exe,11,0.000,0.327
x64-warm,10,readying,csrss.exe,2,0.000,0.043
x64-warm,11,module,ntoskrnl.exe,9,0.000,9.017
x64-warm,11,module,7z.dll,8,0.000,8.012
x64-warm,11,module,ntdll.dll,3,0.000,3.006
x64-warm,11,module,KernelBase.dll,1,0.000,1.023
x64-warm,11,module,combase.dll,1,0.000,1.000
x64-warm,11,module,7z.exe,1,0.000,1.000
x64-warm,11,readying,7z.exe,20,0.000,52.583
x64-warm,11,readying,conhost.exe,2,0.000,6.804
x64-warm,11,readying,MsMpEng.exe,2,0.000,2.001
x64-warm,11,readying,powershell.exe,2,0.000,0.580
x64-warm,11,readying,lsass.exe,11,0.000,0.279
x64-warm,11,readying,csrss.exe,2,0.000,0.028
x64-warm,12,module,ntoskrnl.exe,10,0.000,10.149
x64-warm,12,module,7z.dll,8,0.000,7.986
x64-warm,12,module,vgk.sys,3,0.000,3.025
x64-warm,12,module,ntdll.dll,2,0.000,2.000
x64-warm,12,module,KernelBase.dll,1,0.000,0.971
x64-warm,12,readying,7z.exe,20,0.000,55.368
x64-warm,12,readying,conhost.exe,2,0.000,7.655
x64-warm,12,readying,MsMpEng.exe,1,0.000,2.387
x64-warm,12,readying,powershell.exe,2,0.000,0.680
x64-warm,12,readying,lsass.exe,11,0.000,0.319
x64-warm,12,readying,csrss.exe,2,0.000,0.034
x86-warm,1,module,ntoskrnl.exe,16,0.000,15.962
x86-warm,1,module,ntdll.dll,6,0.000,6.060
x86-warm,1,module,7z.dll,6,0.000,5.996
x86-warm,1,module,FLTMGR.SYS,1,0.000,1.014
x86-warm,1,module,WdFilter.sys,1,0.000,1.008
x86-warm,1,module,vgk.sys,1,0.000,1.000
x86-warm,1,module,Ntfs.sys,1,0.000,0.987
x86-warm,1,readying,7z.exe,17,0.000,160.686
x86-warm,1,readying,MsMpEng.exe,3,0.000,34.228
x86-warm,1,readying,conhost.exe,2,0.000,7.258
x86-warm,1,readying,powershell.exe,2,0.000,4.800
x86-warm,1,readying,lsass.exe,11,0.000,0.471
x86-warm,1,readying,csrss.exe,2,0.000,0.036
x86-warm,2,module,ntoskrnl.exe,17,0.000,17.126
x86-warm,2,module,7z.dll,5,0.000,5.008
x86-warm,2,module,ntdll.dll,5,0.000,5.000
x86-warm,2,module,combase.dll,1,0.000,1.009
x86-warm,2,module,7z.exe,1,0.000,0.986
x86-warm,2,module,vgk.sys,1,0.000,0.983
x86-warm,2,readying,7z.exe,16,0.000,60.452
x86-warm,2,readying,conhost.exe,2,0.000,7.772
x86-warm,2,readying,MsMpEng.exe,1,0.000,2.284
x86-warm,2,readying,powershell.exe,2,0.000,0.680
x86-warm,2,readying,lsass.exe,11,0.000,0.315
x86-warm,2,readying,csrss.exe,2,0.000,0.042
x86-warm,3,module,ntoskrnl.exe,14,0.000,14.073
x86-warm,3,module,ntdll.dll,6,0.000,5.945
x86-warm,3,module,7z.dll,5,0.000,4.966
x86-warm,3,module,combase.dll,1,0.000,1.069
x86-warm,3,module,KernelBase.dll,1,0.000,1.024
x86-warm,3,readying,7z.exe,16,0.000,58.859
x86-warm,3,readying,conhost.exe,2,0.000,7.415
x86-warm,3,readying,MsMpEng.exe,1,0.000,2.155
x86-warm,3,readying,powershell.exe,2,0.000,0.602
x86-warm,3,readying,lsass.exe,11,0.000,0.288
x86-warm,3,readying,csrss.exe,2,0.000,0.035
x86-warm,4,module,ntoskrnl.exe,20,0.000,20.103
x86-warm,4,module,7z.dll,4,0.000,3.994
x86-warm,4,module,ntdll.dll,3,0.000,2.796
x86-warm,4,module,vgk.sys,1,0.000,1.000
x86-warm,4,readying,7z.exe,16,0.000,61.837
x86-warm,4,readying,conhost.exe,2,0.000,7.080
x86-warm,4,readying,MsMpEng.exe,1,0.000,2.135
x86-warm,4,readying,powershell.exe,2,0.000,0.657
x86-warm,4,readying,lsass.exe,11,0.000,0.301
x86-warm,4,readying,csrss.exe,2,0.000,0.032
x86-warm,5,module,ntoskrnl.exe,21,0.000,21.008
x86-warm,5,module,7z.dll,4,0.000,4.007
x86-warm,5,module,ntdll.dll,3,0.000,3.058
x86-warm,5,module,ucrtbase.dll,1,0.000,1.000
x86-warm,5,readying,7z.exe,16,0.000,62.373
x86-warm,5,readying,conhost.exe,2,0.000,7.825
x86-warm,5,readying,MsMpEng.exe,1,0.000,2.366
x86-warm,5,readying,powershell.exe,2,0.000,0.607
x86-warm,5,readying,lsass.exe,11,0.000,0.368
x86-warm,5,readying,csrss.exe,2,0.000,0.042
x86-warm,6,module,ntoskrnl.exe,11,0.000,11.101
x86-warm,6,module,7z.dll,8,0.000,7.981
x86-warm,6,module,ntdll.dll,5,0.000,4.979
x86-warm,6,module,vgk.sys,2,0.000,1.998
x86-warm,6,module,FLTMGR.SYS,2,0.000,1.996
x86-warm,6,module,7z.exe,1,0.000,1.008
x86-warm,6,readying,7z.exe,15,0.000,60.268
x86-warm,6,readying,conhost.exe,2,0.000,7.480
x86-warm,6,readying,MsMpEng.exe,1,0.000,2.104
x86-warm,6,readying,powershell.exe,2,0.000,0.614
x86-warm,6,readying,lsass.exe,11,0.000,0.272
x86-warm,6,readying,csrss.exe,2,0.000,0.047
x86-warm,7,module,ntoskrnl.exe,12,0.000,11.922
x86-warm,7,module,7z.dll,6,0.000,6.006
x86-warm,7,module,ntdll.dll,5,0.000,5.017
x86-warm,7,module,FLTMGR.SYS,2,0.000,1.909
x86-warm,7,module,wow64.dll,1,0.000,1.000
x86-warm,7,readying,7z.exe,16,0.000,56.275
x86-warm,7,readying,conhost.exe,2,0.000,7.023
x86-warm,7,readying,MsMpEng.exe,1,0.000,2.064
x86-warm,7,readying,powershell.exe,2,0.000,0.699
x86-warm,7,readying,lsass.exe,11,0.000,0.292
x86-warm,7,readying,csrss.exe,2,0.000,0.030
x86-warm,8,module,7z.dll,10,0.000,9.998
x86-warm,8,module,ntoskrnl.exe,8,0.000,8.013
x86-warm,8,module,ntdll.dll,3,0.000,3.059
x86-warm,8,module,luafv.sys,1,0.000,1.019
x86-warm,8,module,ucrtbase.dll,1,0.000,1.013
x86-warm,8,module,Ntfs.sys,1,0.000,1.000
x86-warm,8,module,KernelBase.dll,1,0.000,1.000
x86-warm,8,module,clipsp.sys,1,0.000,1.000
x86-warm,8,module,7z.exe,1,0.000,0.989
x86-warm,8,readying,7z.exe,16,0.000,58.864
x86-warm,8,readying,conhost.exe,2,0.000,7.179
x86-warm,8,readying,MsMpEng.exe,1,0.000,2.090
x86-warm,8,readying,powershell.exe,2,0.000,0.607
x86-warm,8,readying,lsass.exe,11,0.000,0.292
x86-warm,8,readying,csrss.exe,2,0.000,0.037
x86-warm,8,readying,SearchProtocolHost.exe,1,0.000,0.007
x86-warm,9,module,ntoskrnl.exe,10,0.000,9.920
x86-warm,9,module,7z.dll,8,0.000,8.008
x86-warm,9,module,ntdll.dll,6,0.000,6.054
